,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,555.0,0.011819846000001633,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",10,0.1,100
1,100,577.0,0.40946725999999956,"[7, 21, 3, 13, 0, 3, 29, 22, 2, 31, 4, 25, 28, 4, 24, 34, 2, 19, 17, 2, 22, 9, 6, 28, 33, 16, 12, 27, 32, 5, 20, 24, 27, 11, 14]",10,0.1,100
2,0,555.0,0.009896102000006124,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",10,0.25,100
3,100,577.0,0.4522591350000056,"[7, 21, 26, 13, 0, 11, 31, 28, 4, 6, 3, 25, 28, 4, 30, 23, 29, 27, 1, 2, 14, 9, 25, 29, 33, 17, 10, 27, 32, 5, 20, 24, 27, 13, 15]",10,0.25,100
4,0,555.0,0.011076479999999833,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",10,0.5,100
5,100,584.0,0.971363058999998,"[10, 21, 19, 5, 32, 17, 9, 22, 8, 28, 3, 25, 31, 20, 30, 23, 2, 18, 1, 4, 14, 0, 6, 29, 33, 16, 14, 4, 26, 5, 20, 24, 27, 13, 12]",10,0.5,100
6,0,555.0,0.009551520999998786,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",10,0.75,100
7,100,581.0,0.785114047999997,"[25, 19, 11, 27, 32, 1, 17, 3, 29, 22, 14, 25, 9, 31, 21, 13, 18, 23, 34, 8, 20, 13, 0, 6, 15, 33, 7, 14, 18, 14, 29, 24, 33, 17, 28]",10,0.75,100
8,0,555.0,0.010228896999997517,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",10,1.0,100
9,100,585.0,0.8134988309999969,"[10, 30, 2, 14, 3, 8, 29, 19, 16, 1, 22, 18, 31, 14, 30, 4, 32, 23, 0, 2, 22, 9, 6, 28, 33, 16, 12, 27, 25, 5, 20, 24, 17, 13, 15]",10,1.0,100
10,0,555.0,0.08949253599999452,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",100,0.1,100
11,100,576.0,3.057189472999994,"[1, 19, 24, 6, 32, 32, 3, 22, 20, 28, 12, 20, 31, 1, 18, 11, 30, 4, 6, 19, 5, 13, 2, 34, 29, 25, 17, 20, 7, 27, 3, 34, 0, 15, 8]",100,0.1,100
12,0,555.0,0.09008897999999732,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",100,0.25,100
13,100,589.0,9.358469184999997,"[11, 29, 3, 6, 29, 18, 4, 22, 27, 32, 7, 23, 16, 9, 2, 0, 10, 4, 1, 5, 19, 26, 30, 15, 33, 31, 17, 34, 12, 25, 19, 31, 34, 13, 24]",100,0.25,100
14,0,555.0,0.10019405999999265,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",100,0.5,100
15,100,576.0,2.7881212829999953,"[20, 22, 19, 25, 14, 16, 24, 15, 3, 12, 33, 20, 5, 7, 18, 7, 25, 30, 34, 8, 4, 26, 15, 11, 2, 10, 28, 12, 24, 30, 21, 1, 32, 9, 23]",100,0.5,100
16,0,555.0,0.09136164999999608,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",100,0.75,100
17,100,578.0,4.2092078290000075,"[30, 29, 25, 29, 19, 32, 8, 4, 0, 34, 0, 20, 10, 1, 3, 6, 28, 12, 22, 33, 19, 13, 32, 7, 27, 31, 24, 14, 7, 33, 8, 11, 15, 9, 26]",100,0.75,100
18,0,555.0,0.10239157200000193,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",100,1.0,100
19,100,577.0,4.167129885999998,"[6, 29, 24, 22, 29, 32, 32, 18, 23, 12, 17, 16, 33, 4, 0, 8, 30, 7, 1, 22, 9, 19, 2, 11, 14, 27, 21, 12, 31, 13, 5, 3, 2, 15, 11]",100,1.0,100
20,0,555.0,0.18658077300000286,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.1,100
21,100,576.0,6.546801842999997,"[19, 14, 24, 20, 6, 12, 32, 30, 25, 30, 11, 34, 28, 17, 0, 2, 31, 11, 2, 27, 8, 18, 31, 15, 18, 21, 9, 22, 27, 19, 4, 26, 28, 33, 25]",200,0.1,100
22,0,555.0,0.17280312299999423,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.25,100
23,100,589.0,19.256140016999993,"[0, 12, 3, 20, 34, 24, 28, 14, 23, 2, 31, 21, 0, 4, 22, 33, 6, 29, 15, 1, 33, 30, 8, 17, 30, 27, 9, 23, 17, 32, 25, 18, 10, 14, 26]",200,0.25,100
24,0,555.0,0.17275972299999864,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.5,100
25,100,580.0,10.866411739,"[7, 21, 26, 18, 0, 5, 29, 2, 4, 17, 3, 12, 28, 20, 4, 33, 30, 27, 1, 8, 14, 13, 25, 10, 5, 16, 30, 5, 14, 34, 0, 29, 19, 12, 3]",200,0.5,100
26,0,555.0,0.16505229900000984,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,0.75,100
27,100,581.0,18.31582659300001,"[22, 1, 14, 10, 0, 31, 6, 18, 19, 28, 8, 20, 9, 26, 3, 0, 4, 32, 26, 9, 32, 13, 25, 33, 17, 33, 31, 21, 15, 5, 34, 30, 16, 24, 6]",200,0.75,100
28,0,555.0,0.1683326309999984,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",200,1.0,100
29,100,578.0,13.857243970999974,"[12, 33, 22, 6, 26, 12, 4, 16, 24, 19, 5, 8, 30, 7, 2, 25, 0, 12, 18, 29, 3, 32, 9, 3, 15, 31, 23, 8, 33, 1, 34, 20, 1, 25, 4]",200,1.0,100
30,0,555.0,0.266531198000024,"[32, 8, 3, 3, 27, 3, 7, 29, 32, 24, 10, 9, 11, 3, 5, 28, 20, 8, 20, 1, 1, 15, 5, 10, 9, 21, 29, 26, 6, 22, 21, 4, 6, 34, 3]",300,0.1,100
