,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,9.384,0.003945585999999945,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,0.05,0.99,0.001,0.04999801731608945,0.05,2500,
1,2500,11.690999999999999,4.673769057,"[7, 3, 0, 5, 2, 6, 1, 4]",geometric,0.05,0.99,0.001,0.047705660361022716,0.05,2500,
2,0,9.384,0.002117479999999894,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,0.05,,0.001,0.04999947063280232,0.05,2500,0.005
3,2500,11.690999999999999,4.63381782,"[7, 3, 0, 5, 2, 6, 1, 4]",exponential,0.05,,0.001,0.04885486266545805,0.05,2500,0.005
4,0,9.384,0.002112729999998564,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,0.05,0.0001,0.001,0.049999788727000005,0.05,2500,
5,2500,11.690999999999999,4.634415472999999,"[7, 3, 0, 5, 2, 6, 1, 4]",arithmetic,0.05,0.0001,0.001,0.049536558452700004,0.05,2500,
6,0,9.384,0.002813033999998993,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,0.1,0.99,0.001,0.09999717284631802,0.1,2500,
7,2500,11.690999999999999,4.498541454999998,"[7, 4, 1, 6, 2, 5, 0, 3]",geometric,0.1,0.99,0.001,0.0955794972853543,0.1,2500,
8,0,9.384,0.0024155500000020425,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,0.1,,0.001,0.09999879223229358,0.1,2500,0.005
9,2500,11.690999999999999,4.768548604000003,"[7, 3, 0, 5, 2, 6, 1, 4]",exponential,0.1,,0.001,0.09764392495725305,0.1,2500,0.005
10,0,9.384,0.0029370819999989806,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,0.1,0.0001,0.001,0.09999970629180001,0.1,2500,
11,2500,11.690999999999999,4.617710450000001,"[7, 4, 1, 6, 2, 5, 0, 3]",arithmetic,0.1,0.0001,0.001,0.099538228955,0.1,2500,
12,0,9.384,0.0023885190000001444,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,0.5,0.99,0.001,0.4999879974349926,0.5,2500,
13,2500,11.952,3.4058037139999975,"[1, 4, 7, 2, 6, 3, 0, 5]",geometric,0.5,0.99,0.001,0.4831748648916576,0.5,2500,
14,0,9.384,0.002116063999999085,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,0.5,,0.001,0.4999947098679857,0.5,2500,0.005
15,2500,11.952,3.487644740999997,"[0, 3, 6, 2, 7, 4, 1, 5]",exponential,0.5,,0.001,0.49135647107727887,0.5,2500,0.005
16,0,9.384,0.002533199999994906,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,0.5,0.0001,0.001,0.49999974668,0.5,2500,
17,2500,11.541,5.856760140999995,"[4, 1, 6, 2, 5, 7, 3, 0]",arithmetic,0.5,0.0001,0.001,0.4994143239859,0.5,2500,
18,0,9.384,0.0024427729999985104,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,1.0,0.99,0.001,0.9999754496123019,1,2500,
19,2500,11.952,1.737105868999997,"[4, 7, 2, 6, 3, 0, 5, 1]",geometric,1.0,0.99,0.001,0.9826930191374549,1,2500,
20,0,9.384,0.0026645920000021306,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,1.0,,0.001,0.9999866771287502,1,2500,0.005
21,2500,11.952,3.699492921000001,"[1, 4, 7, 2, 6, 3, 0, 5]",exponential,1.0,,0.001,0.9816725635163455,1,2500,0.005
22,0,9.384,0.002450897000002783,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,1.0,0.0001,0.001,0.9999997549103,1,2500,
23,2500,11.39,6.901980139000003,"[2, 6, 4, 0, 3, 1, 5, 7]",arithmetic,1.0,0.0001,0.001,0.9993098019861,1,2500,
24,0,9.384,0.0024480589999953395,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,10.0,0.99,0.001,9.999753964875321,10,2500,
25,2500,11.952,1.8806430399999954,"[1, 5, 0, 3, 6, 2, 7, 4]",geometric,10.0,0.99,0.001,9.8127641139879,10,2500,
26,0,9.384,0.0026947030000030736,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,10.0,,0.001,9.999865265757673,10,2500,0.005
27,2500,11.788,3.553799339000001,"[4, 0, 5, 2, 7, 3, 6, 1]",exponential,10.0,,0.001,9.823879410101329,10,2500,0.005
28,0,9.384,0.0024093110000009688,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,10.0,0.0001,0.001,9.9999997590689,10,2500,
29,2500,9.254999999999999,8.645196069,"[1, 5, 6, 4, 7, 0, 3, 2]",arithmetic,10.0,0.0001,0.001,9.9991354803931,10,2500,
30,0,9.384,0.0023641239999960817,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,20.0,0.99,0.001,19.99952480084146,20,2500,
31,2500,11.788,2.047331596999996,"[4, 1, 6, 3, 7, 2, 5, 0]",geometric,20.0,0.99,0.001,19.592677576561957,20,2500,
32,0,9.384,0.002645634000003838,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,20.0,,0.001,19.999735438349838,20,2500,0.005
33,2500,11.690999999999999,5.679648135999997,"[3, 7, 4, 1, 6, 2, 5, 0]",exponential,20.0,,0.001,19.440023985897405,20,2500,0.005
34,0,9.384,0.0028180449999979373,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,20.0,0.0001,0.001,19.9999997181955,20,2500,
35,2500,8.405999999999999,8.672613069999997,"[7, 4, 6, 1, 0, 2, 5, 3]",arithmetic,20.0,0.0001,0.001,19.999132738693,20,2500,
36,0,9.384,0.002370810000002166,"[7, 2, 1, 6, 0, 4, 3, 5]",geometric,25.0,0.99,0.001,24.999404321178158,25,2500,
37,2500,11.788,2.225973142000001,"[4, 1, 6, 3, 7, 2, 5, 0]",geometric,25.0,0.99,0.001,24.446915369131577,25,2500,
38,0,9.384,0.002796287999998981,"[7, 2, 1, 6, 0, 4, 3, 5]",exponential,25.0,,0.001,24.999650466443494,25,2500,0.005
39,2500,11.57,4.357061465000001,"[2, 5, 0, 3, 6, 1, 4, 7]",exponential,25.0,,0.001,24.461256965266646,25,2500,0.005
40,0,9.384,0.002433839000005378,"[7, 2, 1, 6, 0, 4, 3, 5]",arithmetic,25.0,0.0001,0.001,24.9999997566161,25,2500,
41,2500,9.98,8.81293992900001,"[6, 7, 4, 1, 5, 2, 0, 3]",arithmetic,25.0,0.0001,0.001,24.9991187060071,25,2500,
